DATETIME,ANO,MES,DIA,HORA,VALOR,VALOR_ORIGINAL,UNIDADE,QAQC_INTERNO,QAQC_MMA
2021-01-21 05:00:00,2021,1,21,5,11.82,11.82,µg/m³,True,True
2021-01-21 06:00:00,2021,1,21,6,9.02,9.02,µg/m³,True,True
2021-01-21 07:00:00,2021,1,21,7,10.51,10.51,µg/m³,True,True
2021-01-21 08:00:00,2021,1,21,8,,0.0,µg/m³,True,False
2021-01-21 09:00:00,2021,1,21,9,,0.0,µg/m³,True,False
2021-01-21 10:00:00,2021,1,21,10,0.98,0.98,µg/m³,True,True
2021-01-21 11:00:00,2021,1,21,11,4.65,4.65,µg/m³,True,True
2021-01-21 12:00:00,2021,1,21,12,1.27,1.27,µg/m³,True,True
2021-01-21 13:00:00,2021,1,21,13,2.32,2.32,µg/m³,True,True
2021-01-21 14:00:00,2021,1,21,14,6.49,6.49,µg/m³,True,True
2021-01-21 15:00:00,2021,1,21,15,6.29,6.29,µg/m³,True,True
2021-01-21 16:00:00,2021,1,21,16,5.84,5.84,µg/m³,True,True
2021-01-21 17:00:00,2021,1,21,17,16.32,16.32,µg/m³,True,True
2021-01-21 18:00:00,2021,1,21,18,29.6,29.6,µg/m³,True,True
2021-01-21 19:00:00,2021,1,21,19,26.31,26.31,µg/m³,True,True
2021-01-21 20:00:00,2021,1,21,20,19.17,19.17,µg/m³,True,True
2021-01-21 21:00:00,2021,1,21,21,15.4,15.4,µg/m³,True,True
2021-01-21 22:00:00,2021,1,21,22,11.41,11.41,µg/m³,True,True
2021-01-21 23:00:00,2021,1,21,23,9.26,9.26,µg/m³,True,True
2021-01-22 00:00:00,2021,1,22,0,8.72,8.72,µg/m³,True,True
2021-01-22 01:00:00,2021,1,22,1,8.67,8.67,µg/m³,True,True
2021-01-22 02:00:00,2021,1,22,2,8.82,8.82,µg/m³,True,True
2021-01-22 03:00:00,2021,1,22,3,5.09,5.09,µg/m³,True,True
2021-01-22 04:00:00,2021,1,22,4,,,µg/m³,False,False
2021-01-22 05:00:00,2021,1,22,5,0.53,0.53,µg/m³,True,True
2021-01-22 06:00:00,2021,1,22,6,1.69,1.69,µg/m³,True,True
2021-01-22 07:00:00,2021,1,22,7,,0.0,µg/m³,True,False
2021-01-22 08:00:00,2021,1,22,8,,0.0,µg/m³,True,False
2021-01-22 09:00:00,2021,1,22,9,,0.0,µg/m³,True,False
2021-01-22 10:00:00,2021,1,22,10,2.92,2.92,µg/m³,True,True
