,Data,Residuo,Quantidade,Tecnologia,Unnamed: 4,Unnamed: 5,ano,mes
105,2018-11-23,180401(*),0.0,Aterro,,,2018,11
106,2018-11-23,180111(*),0.2,Aterro,,,2018,11
107,2018-11-23,180401(*),0.0,Aterro,,,2018,11
108,2018-11-23,180111(*),0.23,Aterro,,,2018,11
109,2018-11-26,180401(*),0.0,Aterro,,,2018,11
110,2018-11-26,180111(*),0.21,Aterro,,,2018,11
111,2018-11-27,180401(*),0.0,Aterro,,,2018,11
112,2018-11-27,180111(*),0.25,Aterro,,,2018,11
113,2018-11-28,180401(*),0.0,Aterro,,,2018,11
114,2018-11-28,180111(*),0.22,Aterro,,,2018,11
115,2018-11-29,180401(*),0.0,Aterro,,,2018,11
116,2018-11-29,180111(*),0.23,Aterro,,,2018,11
117,2018-11-29,180401(*),0.0,Aterro,,,2018,11
118,2018-11-29,180111(*),0.22,Aterro,,,2018,11
119,2018-11-29,180401(*),0.0,Aterro,,,2018,11
120,2018-11-29,180111(*),0.19,Aterro,,,2018,11
121,2018-12-03,180401(*),0.0,Aterro,,,2018,12
122,2018-12-03,180111(*),0.23,Aterro,,,2018,12
123,2018-12-04,180401(*),0.0,Aterro,,,2018,12
124,2018-12-04,180111(*),0.23,Aterro,,,2018,12
125,2018-12-05,180401(*),0.0,Aterro,,,2018,12
126,2018-12-05,180111(*),0.21,Aterro,,,2018,12
127,2018-12-06,180401(*),0.0,Aterro,,,2018,12
128,2018-12-06,180111(*),0.24,Aterro,,,2018,12
129,2018-12-06,180401(*),0.0,Aterro,,,2018,12
130,2018-12-06,180111(*),0.23,Aterro,,,2018,12
131,2018-12-06,180401(*),0.0,Aterro,,,2018,12
132,2018-12-06,180111(*),0.18,Aterro,,,2018,12
133,2018-12-06,180205(*),0.01,Incineração,,,2018,12
134,2018-12-06,180401(*),0.0,Aterro,,,2018,12
135,2018-12-06,180111(*),0.25,Aterro,,,2018,12
136,2018-12-06,180401(*),0.0,Aterro,,,2018,12
137,2018-12-06,180111(*),0.2,Aterro,,,2018,12
138,2018-12-10,180401(*),0.0,Aterro,,,2018,12
