Data;Residuo;Quantidade;Tecnologia;;
2018-12-10;180401(*);0.00;Aterro;;
2018-12-10;180111(*);0.30;Aterro;;
2018-12-10;180401(*);0.00;Aterro;;
2018-12-10;180111(*);0.24;Aterro;;
2018-12-10;180401(*);0.00;Aterro;;
2018-12-10;180111(*);0.26;Aterro;;
2018-12-10;180401(*);0.00;Aterro;;
2018-12-10;180111(*);0.24;Aterro;;
2018-12-11;180401(*);0.00;Aterro;;
2018-12-11;180111(*);0.15;Aterro;;
2018-12-11;180401(*);0.00;Aterro;;
2018-12-11;180111(*);0.18;Aterro;;
2018-12-12;180401(*);0.00;Aterro;;
2018-12-12;180111(*);0.23;Aterro;;
2018-12-12;180401(*);0.00;Aterro;;
2018-12-12;180111(*);0.19;Aterro;;
2018-12-12;180401(*);0.00;Aterro;;
2018-12-12;180111(*);0.20;Aterro;;
2018-12-12;180401(*);0.00;Aterro;;
2018-12-12;180111(*);0.19;Aterro;;
2018-12-14;180401(*);0.00;Aterro;;
2018-12-14;180111(*);0.11;Aterro;;
2018-12-17;180401(*);0.00;Aterro;;
2018-12-17;180111(*);0.11;Aterro;;
2018-12-17;180401(*);0.00;Aterro;;
2018-12-17;180111(*);0.08;Aterro;;
2018-12-17;180401(*);0.00;Aterro;;
2018-12-17;180111(*);0.11;Aterro;;
2018-12-17;180401(*);0.00;Aterro;;
2018-12-17;180111(*);0.12;Aterro;;
2018-12-18;180401(*);0.00;Aterro;;
2018-12-18;180111(*);0.13;Aterro;;
2019-01-02;180401(*);0.00;Aterro;;
2019-01-02;180111(*);0.10;Aterro;;
2019-01-03;180401(*);0.00;Aterro;;
2019-01-03;180111(*);0.12;Aterro;;
2019-01-03;180401(*);0.00;Aterro;;
2019-01-03;180111(*);0.15;Aterro;;
2019-01-03;180401(*);0.00;Aterro;;
2019-01-03;180111(*);0.15;Aterro;;
2019-01-07;180401(*);0.00;Aterro;;
2019-01-07;180111(*);0.18;Aterro;;
2019-01-08;180205(*);0.02;Incineração;;
2019-01-08;180201(*);0.01;Incineração;;
2019-01-08;180401(*);0.00;Aterro;;
2019-01-08;180111(*);0.16;Aterro;;
2019-01-09;180401(*);0.00;Aterro;;
2019-01-09;180111(*);0.13;Aterro;;
2019-01-09;180401(*);0.00;Aterro;;
2019-01-09;180111(*);0.21;Aterro;;
2019-01-09;180401(*);0.00;Aterro;;
2019-01-09;180111(*);0.19;Aterro;;
2019-01-10;180401(*);0.00;Aterro;;
2019-01-10;180111(*);0.14;Aterro;;
2019-01-14;180401(*);0.00;Aterro;;
2019-01-14;180111(*);0.17;Aterro;;
2019-01-15;180401(*);0.00;Aterro;;
2019-01-15;180111(*);0.22;Aterro;;
2019-01-16;180401(*);0.00;Aterro;;
2019-01-16;180111(*);0.14;Aterro;;
2019-01-17;180401(*);0.00;Aterro;;
2019-01-17;180111(*);0.26;Aterro;;
2019-01-17;180401(*);0.00;Aterro;;
2019-01-17;180111(*);0.15;Aterro;;
2019-01-17;180401(*);0.00;Aterro;;
2019-01-17;180111(*);0.23;Aterro;;
2019-01-21;180401(*);0.00;Aterro;;
2019-01-21;180111(*);0.20;Aterro;;
2019-01-22;180401(*);0.00;Aterro;;
2019-01-22;180111(*);0.22;Aterro;;
2019-01-22;180401(*);0.00;Aterro;;
2019-01-22;180111(*);0.22;Aterro;;
2019-01-23;180401(*);0.00;Aterro;;
2019-01-23;180111(*);0.22;Aterro;;
2019-01-24;180401(*);0.00;Aterro;;
2019-01-24;180111(*);0.17;Aterro;;
2019-01-28;180401(*);0.00;Aterro;;
2019-01-28;180111(*);0.22;Aterro;;
2019-01-28;180401(*);0.00;Aterro;;
2019-01-28;180111(*);0.21;Aterro;;
2019-01-29;180401(*);0.00;Aterro;;
2019-01-29;180111(*);0.28;Aterro;;
2019-01-30;180401(*);0.00;Aterro;;
2019-01-30;180111(*);0.22;Aterro;;
2019-01-31;180401(*);0.00;Aterro;;
2019-01-31;180111(*);0.22;Aterro;;
2019-01-31;180401(*);0.00;Aterro;;
2019-01-31;180111(*);0.24;Aterro;;
2019-01-31;180401(*);0.00;Aterro;;
2019-01-31;180111(*);0.16;Aterro;;
2019-02-04;180401(*);0.00;Aterro;;
2019-02-04;180111(*);0.16;Aterro;;
2019-02-05;180401(*);0.00;Aterro;;
2019-02-05;180111(*);0.25;Aterro;;
2019-02-06;180401(*);0.00;Aterro;;
2019-02-06;180111(*);0.18;Aterro;;
2019-02-07;180401(*);0.00;Aterro;;
2019-02-07;180111(*);0.24;Aterro;;
2019-02-07;180401(*);0.00;Aterro;;
2019-02-07;180111(*);0.23;Aterro;;
2019-02-08;180401(*);0.00;Aterro;;
2019-02-08;180111(*);0.21;Aterro;;
2019-02-11;180401(*);0.00;Aterro;;
2019-02-11;180111(*);0.22;Aterro;;
2019-02-12;180401(*);0.00;Aterro;;
2019-02-12;180111(*);0.18;Aterro;;
2019-02-13;180401(*);0.00;Aterro;;
2019-02-13;180111(*);0.27;Aterro;;
2019-02-14;180401(*);0.00;Aterro;;
2019-02-14;180111(*);0.24;Aterro;;
2019-02-14;180401(*);0.00;Aterro;;
2019-02-14;180111(*);0.26;Aterro;;
2019-02-14;180401(*);0.00;Aterro;;
2019-02-14;180111(*);0.18;Aterro;;
2019-02-18;180401(*);0.00;Aterro;;
2019-02-18;180111(*);0.19;Aterro;;
2019-02-19;180401(*);0.00;Aterro;;
2019-02-19;180111(*);0.26;Aterro;;
2019-02-20;180401(*);0.00;Aterro;;
2019-02-20;180111(*);0.26;Aterro;;
2019-02-20;180401(*);0.00;Aterro;;
2019-02-20;180111(*);0.21;Aterro;;
2019-02-20;180401(*);0.00;Aterro;;
2019-02-20;180111(*);0.20;Aterro;;
2019-02-21;180401(*);0.00;Aterro;;
2019-02-21;180111(*);0.16;Aterro;;
2019-02-25;180401(*);0.00;Aterro;;
2019-02-25;180111(*);0.21;Aterro;;
2019-02-26;180401(*);0.00;Aterro;;
2019-02-26;180111(*);0.23;Aterro;;
2019-02-26;180401(*);0.00;Aterro;;
2019-02-26;180111(*);0.22;Aterro;;
2019-02-27;180401(*);0.00;Aterro;;
2019-02-27;180111(*);0.23;Aterro;;
2019-02-27;180401(*);0.00;Aterro;;
2019-02-27;180111(*);0.19;Aterro;;
2019-02-27;180401(*);0.00;Aterro;;
2019-02-27;180111(*);0.23;Aterro;;
2019-02-28;180401(*);0.00;Aterro;;
2019-02-28;180111(*);0.20;Aterro;;
2019-03-06;180401(*);0.00;Aterro;;
2019-03-06;180111(*);0.18;Aterro;;
2019-03-06;180401(*);0.00;Aterro;;
2019-03-06;180111(*);0.29;Aterro;;
2019-03-07;180401(*);0.00;Aterro;;
2019-03-07;180111(*);0.26;Aterro;;
2019-03-07;180401(*);0.00;Aterro;;
2019-03-07;180111(*);0.21;Aterro;;
2019-03-11;180401(*);0.00;Aterro;;
2019-03-11;180111(*);0.23;Aterro;;
2019-03-12;180401(*);0.00;Aterro;;
2019-03-12;180111(*);0.24;Aterro;;
2019-03-13;180401(*);0.00;Aterro;;
2019-03-13;180111(*);0.17;Aterro;;
2019-03-14;180401(*);0.00;Aterro;;
2019-03-14;180111(*);0.20;Aterro;;
2019-03-14;180401(*);0.00;Aterro;;
2019-03-14;180111(*);0.21;Aterro;;
2019-03-15;180401(*);0.00;Aterro;;
2019-03-15;180111(*);0.18;Aterro;;
2019-03-18;180401(*);0.00;Aterro;;
2019-03-18;180111(*);0.21;Aterro;;
2019-03-19;180401(*);0.00;Aterro;;
2019-03-19;180111(*);0.28;Aterro;;
2019-03-19;180201(*);0.01;Incineração;;
2019-03-20;180401(*);0.00;Aterro;;
2019-03-20;180111(*);0.22;Aterro;;
2019-03-21;180401(*);0.00;Aterro;;
2019-03-21;180111(*);0.20;Aterro;;
2019-03-21;180401(*);0.00;Aterro;;
2019-03-21;180111(*);0.19;Aterro;;
2019-03-21;180401(*);0.00;Aterro;;
2019-03-21;180111(*);0.21;Aterro;;
2019-03-25;180401(*);0.00;Aterro;;
2019-03-25;180111(*);0.20;Aterro;;
2019-03-26;180401(*);0.00;Aterro;;
2019-03-26;180111(*);0.29;Aterro;;
2019-03-27;180401(*);0.00;Aterro;;
2019-03-27;180111(*);0.19;Aterro;;
2019-03-27;180401(*);0.00;Aterro;;
2019-03-27;180111(*);0.24;Aterro;;
2019-03-28;180401(*);0.00;Aterro;;
2019-03-28;180111(*);0.24;Aterro;;
2019-03-28;180401(*);0.00;Aterro;;
2019-03-28;180111(*);0.21;Aterro;;
2019-04-01;180401(*);0.00;Aterro;;
2019-04-01;180111(*);0.21;Aterro;;
2019-04-02;180401(*);0.00;Aterro;;
2019-04-02;180111(*);0.16;Aterro;;
2019-04-03;180401(*);0.00;Aterro;;
2019-04-03;180111(*);0.20;Aterro;;
2019-04-04;180401(*);0.00;Aterro;;
2019-04-04;180111(*);0.24;Aterro;;
2019-04-04;180401(*);0.00;Aterro;;
2019-04-04;180111(*);0.20;Aterro;;
2019-04-05;180401(*);0.00;Aterro;;
2019-04-05;180111(*);0.18;Aterro;;
2019-04-08;180401(*);0.00;Aterro;;
2019-04-08;180111(*);0.22;Aterro;;
2019-04-09;180401(*);0.00;Aterro;;
2019-04-09;180111(*);0.23;Aterro;;
2019-04-10;180401(*);0.00;Aterro;;
2019-04-10;180111(*);0.19;Aterro;;
2019-04-10;180401(*);0.00;Aterro;;
2019-04-10;180111(*);0.22;Aterro;;
2019-04-11;180401(*);0.00;Aterro;;
2019-04-11;180111(*);0.22;Aterro;;
2019-04-11;180401(*);0.00;Aterro;;
2019-04-11;180111(*);0.21;Aterro;;
2019-04-11;180401(*);0.00;Aterro;;
2019-04-11;180111(*);0.30;Aterro;;
2019-04-12;180401(*);0.00;Aterro;;
2019-04-12;180111(*);0.23;Aterro;;
2019-04-15;180401(*);0.00;Aterro;;
2019-04-15;180111(*);0.28;Aterro;;
2019-04-16;180401(*);0.00;Aterro;;
2019-04-16;180111(*);0.40;Aterro;;
2019-04-17;180401(*);0.00;Aterro;;
2019-04-17;180111(*);0.23;Aterro;;
2019-04-17;180401(*);0.00;Aterro;;
2019-04-17;180111(*);0.26;Aterro;;
2019-04-17;180401(*);0.00;Aterro;;
2019-04-17;180111(*);0.25;Aterro;;
2019-04-22;180401(*);0.00;Aterro;;
2019-04-22;180111(*);0.24;Aterro;;
2019-04-22;180401(*);0.00;Aterro;;
2019-04-22;180111(*);0.22;Aterro;;
2019-04-23;180401(*);0.00;Aterro;;
2019-04-23;180111(*);0.24;Aterro;;
2019-04-23;180401(*);0.00;Aterro;;
2019-04-23;180111(*);0.22;Aterro;;
2019-04-25;180401(*);0.00;Aterro;;
2019-04-25;180111(*);0.24;Aterro;;
2019-04-29;180401(*);0.00;Aterro;;
2019-04-29;180111(*);0.34;Aterro;;
2019-04-30;180401(*);0.00;Aterro;;
2019-04-30;180111(*);0.25;Aterro;;
2019-04-30;180401(*);0.00;Aterro;;
2019-04-30;180111(*);0.24;Aterro;;
2019-04-30;180401(*);0.00;Aterro;;
2019-04-30;180111(*);0.15;Aterro;;
2019-05-06;180401(*);0.00;Aterro;;
2019-05-06;180111(*);0.28;Aterro;;
2019-05-07;180205(*);0.03;Incineração;;
2019-05-07;180401(*);0.00;Aterro;;
2019-05-07;180111(*);0.25;Aterro;;
2019-05-08;180401(*);0.00;Aterro;;
2019-05-08;180111(*);0.26;Aterro;;
2019-05-09;180401(*);0.00;Aterro;;
2019-05-09;180111(*);0.22;Aterro;;
2019-05-10;180401(*);0.00;Aterro;;
2019-05-10;180111(*);0.24;Aterro;;
2019-05-10;180401(*);0.00;Aterro;;
2019-05-10;180111(*);0.25;Aterro;;
2019-05-13;180401(*);0.00;Aterro;;
2019-05-13;180111(*);0.23;Aterro;;
2019-05-14;180401(*);0.00;Aterro;;
2019-05-14;180111(*);0.22;Aterro;;
2019-05-15;180401(*);0.00;Aterro;;
2019-05-15;180111(*);0.22;Aterro;;
2019-05-15;180401(*);0.00;Aterro;;
2019-05-15;180111(*);0.21;Aterro;;
2019-05-16;180401(*);0.00;Aterro;;
2019-05-16;180111(*);0.25;Aterro;;
2019-05-16;180401(*);0.00;Aterro;;
2019-05-16;180111(*);0.25;Aterro;;
2019-05-17;180401(*);0.00;Aterro;;
2019-05-17;180111(*);0.24;Aterro;;
2019-05-17;180401(*);0.00;Aterro;;
2019-05-17;180111(*);0.26;Aterro;;
2019-05-20;180401(*);0.00;Aterro;;
2019-05-20;180111(*);0.26;Aterro;;
2019-05-21;180401(*);0.00;Aterro;;
2019-05-21;180111(*);0.19;Aterro;;
2019-05-22;180401(*);0.00;Aterro;;
2019-05-22;180111(*);0.24;Aterro;;
2019-05-24;180401(*);0.00;Aterro;;
2019-05-24;180111(*);0.17;Aterro;;
2019-05-27;180401(*);0.00;Aterro;;
2019-05-27;180111(*);0.17;Aterro;;
2019-05-28;180401(*);0.00;Aterro;;
2019-05-28;180111(*);0.27;Aterro;;
2019-05-29;180401(*);0.00;Aterro;;
2019-05-29;180111(*);0.20;Aterro;;
2019-05-30;180401(*);0.00;Aterro;;
2019-05-30;180111(*);0.19;Aterro;;
2019-05-31;180401(*);0.00;Aterro;;
2019-05-31;180111(*);0.23;Aterro;;
2019-05-31;180401(*);0.00;Aterro;;
2019-05-31;180111(*);0.19;Aterro;;
2019-06-03;180401(*);0.00;Aterro;;
2019-06-03;180111(*);0.22;Aterro;;
2019-06-04;180401(*);0.00;Aterro;;
2019-06-04;180111(*);0.23;Aterro;;
2019-06-05;180401(*);0.00;Aterro;;
2019-06-05;180111(*);0.22;Aterro;;
2019-06-06;180401(*);0.00;Aterro;;
2019-06-06;180111(*);0.20;Aterro;;
2019-06-07;180401(*);0.00;Aterro;;
2019-06-07;180111(*);0.23;Aterro;;
2019-06-07;180401(*);0.00;Aterro;;
2019-06-07;180111(*);0.17;Aterro;;
2019-06-10;180401(*);0.00;Aterro;;
2019-06-10;180111(*);0.24;Aterro;;
2019-06-11;180401(*);0.00;Aterro;;
2019-06-11;180111(*);0.22;Aterro;;
2019-06-12;180401(*);0.00;Aterro;;
2019-06-12;180111(*);0.27;Aterro;;
2019-06-13;180401(*);0.00;Aterro;;
2019-06-13;180111(*);0.18;Aterro;;
2019-06-13;180401(*);0.00;Aterro;;
2019-06-13;180111(*);0.20;Aterro;;
2019-06-13;180401(*);0.00;Aterro;;
2019-06-13;180111(*);0.26;Aterro;;
